,Gare,Latitude,Longitude
231,Bédarieux,43.6086972,3.1495688
232,Bédarrides,44.0407636,4.8931321
233,Bedous,42.99589,-0.60348
234,Bègles,44.7995389,-0.5552495
235,Beillant,45.7007999,-0.5265079
236,Belfort,47.633284,6.853956
237,Belfort - Montbéliard TGV,47.585937,6.897687
238,Bellac,46.1252044,1.0461168
239,Belle-Isle - Bégard,48.5935901,-3.3228532
240,Bellegarde,46.109425,5.823483
241,Bellenaves,46.199256,3.0665239
242,Belleville,48.8195721,6.1018641
243,Belleville sur Sâone,46.111917,4.729028
244,Belleville-sur-Vie,46.788316,-1.4346673
245,Bellevue,48.8190033,2.2296743
246,Bellignat,46.2381265,5.6298849
247,Belloy - Saint-Martin,49.09807,2.36135
248,Belvès,44.7773978,1.0118831
249,Belvezet,44.5617971,3.7518919
250,Belz - Ploemel,47.652466,-3.0721919
251,Bena Fanes,42.4580782,1.9167264
252,Bénesse-Maremne,43.6277484,-1.3698505
253,Bénestroff,48.90656,6.75266
254,Benfeld,48.3735367,7.584125
255,Bengy-sur-Craon,47.0004698,2.7492361
256,Béning,49.1379541,6.8282982
257,Bergerac,44.857061,0.489174
258,Bergues,50.96901,2.42574
259,Berlaimont,50.1980095,3.8105316
260,Bernay,49.087102,0.595634
261,Berre,43.5008861,5.1789508
262,Bersac-sur-Rivalier,46.0837459,1.4321682
263,Berthelming,48.8096475,7.0087859
264,Bertrichamps,48.4283359,6.7912343
265,Bertry,50.0911265,3.4489955
266,Besançon Franche-Comté TGV,47.307361058531725,5.953195095062256
267,Besançon Mouillère,47.240372,6.03391
268,Besançon Viotte,47.247019,6.022003
269,Beslé,47.6988788,-1.8706374
270,Bessancourt,49.03576,2.21004
271,Bessay-sur-Allier,46.4435849,3.3606477
272,Bessèges,44.2884691,4.1005901
273,Bétaille,44.9424281,1.7344108
274,Béthune,50.52144,2.64055
275,Betton,48.1814803,-1.6344745
276,Beuvrages,50.3894892,3.5061396
277,Beuvry lès Béthune,50.5356021,2.6924093
278,Beynes,48.8593599,1.8755696
279,Beynost,45.833915,5.006969
280,Béziers,43.33633,3.218873
281,Biache-Saint-Vaast,50.3162525,2.9414975
282,Biarritz,43.459397,-1.545915
283,Bibliothèque François Mitterrand,48.82984,2.37684
284,Bidarray Pont Noblia,43.2682991,-1.3453233
285,Bidos,43.17892,-0.6069
286,Bièvres,48.7513289,2.2157279
287,Biffontaine,48.2059398,6.8071811
288,Biganos Facture,44.637384,-0.96621
289,Bigny,46.8015763,2.368638
290,Billy-Montigny,50.41556,2.91206
291,Biot,43.610951,7.12609
292,Bischheim,48.6118352,7.7422165
293,Bischoffsheim,48.48701,7.49772
294,Bischwiller,48.765753,7.8516536
295,Bitche,49.04838,7.4321
296,Bitschwiller-lès-Thann,47.8273719,7.078514
297,Blainville - Damelevières,48.564971,6.386953
298,Blaisy-Bas,47.3734427,4.7410755
299,Blangy-sur-Bresle,49.9326071,1.6259074
300,Blangy-sur-Ternoise,50.424669,2.1721585
301,Blanquefort,44.917556,-0.62392
302,Blanzy,46.694064,4.3913585
303,Bléré - La Croix,47.3377228,0.9877583
304,Blois - Chambord,47.585445,1.323823
305,Blonville-sur-Mer - Benerville,49.3313919,0.0356856
306,Boën-sur-Lignon,45.7413612,4.0051544
307,Bogny-sur-Meuse,49.8583117,4.7632317
308,Bohain-en-Vermandois,49.9884143,3.4431289
309,Boigneville,48.342078,2.3789793
310,Bois-Colombes,48.91348,2.27256
311,Bois-d'Oingt - Légny,45.9065839,4.575043
312,Bois-le-Roi,48.475567,2.691606
313,Boisleux-au-Mont,50.2104665,2.771855
314,Boisseaux,48.2566238,1.9727681
315,Boisset,44.786038,2.2497669
