,Date,Température moyenne
390,2020-01-26,6
391,2020-01-27,9
392,2020-01-28,7
393,2020-01-29,6
394,2020-01-30,9
395,2020-01-31,12
396,2020-02-01,12
397,2020-02-02,13
398,2020-02-03,11
399,2020-02-04,7
400,2020-02-05,7
401,2020-02-06,6
402,2020-02-07,6
403,2020-02-08,8
404,2020-02-09,8
405,2020-02-10,9
406,2020-02-11,6
407,2020-02-12,6
408,2020-02-13,8
409,2020-02-14,9
410,2020-02-15,10
411,2020-02-16,14
412,2020-02-17,9
413,2020-02-18,8
414,2020-02-19,8
415,2020-02-20,9
416,2020-02-21,6
417,2020-02-22,9
418,2020-02-23,12
419,2020-02-24,12
420,2020-02-25,9
421,2020-02-26,5
422,2020-02-27,6
423,2020-02-28,6
424,2020-02-29,9
425,2020-03-01,6
426,2020-03-02,7
427,2020-03-03,6
428,2020-03-04,6
429,2020-03-05,9
430,2020-03-06,7
431,2020-03-07,7
432,2020-03-08,9
433,2020-03-09,8
434,2020-03-10,12
435,2020-03-11,14
436,2020-03-12,10
437,2020-03-13,8
438,2020-03-14,8
439,2020-03-15,10
440,2020-03-16,11
441,2020-03-17,11
442,2020-03-18,13
443,2020-03-19,14
444,2020-03-20,11
445,2020-03-21,8
446,2020-03-22,7
447,2020-03-23,6
448,2020-03-24,6
449,2020-03-25,6
450,2020-03-26,6
451,2020-03-27,8
452,2020-03-28,10
453,2020-03-29,6
454,2020-03-30,4
455,2020-03-31,6
456,2020-04-01,7
457,2020-04-02,6
458,2020-04-03,9
459,2020-04-04,10
460,2020-04-05,14
461,2020-04-06,13
462,2020-04-07,14
463,2020-04-08,17
464,2020-04-09,18
465,2020-04-10,18
466,2020-04-11,18
467,2020-04-12,18
468,2020-04-13,14
469,2020-04-14,8
470,2020-04-15,12
471,2020-04-16,17
472,2020-04-17,18
473,2020-04-18,18
474,2020-04-19,15
475,2020-04-20,15
476,2020-04-21,15
477,2020-04-22,15
478,2020-04-23,18
479,2020-04-24,19
480,2020-04-25,16
481,2020-04-26,15
482,2020-04-27,17
483,2020-04-28,16
484,2020-04-29,13
485,2020-04-30,12
486,2020-05-01,13
487,2020-05-02,12
488,2020-05-03,14
489,2020-05-04,16
490,2020-05-05,13
491,2020-05-06,15
492,2020-05-07,16
493,2020-05-08,18
494,2020-05-09,18
495,2020-05-10,17
496,2020-05-11,10
497,2020-05-12,10
498,2020-05-13,11
499,2020-05-14,10
500,2020-05-15,11
501,2020-05-16,14
502,2020-05-17,15
503,2020-05-18,17
504,2020-05-19,17
505,2020-05-20,20
506,2020-05-21,23
507,2020-05-22,21
508,2020-05-23,16
509,2020-05-24,16
510,2020-05-25,18
511,2020-05-26,19
512,2020-05-27,19
513,2020-05-28,18
514,2020-05-29,18
515,2020-05-30,19
516,2020-05-31,18
517,2020-06-01,20
518,2020-06-02,22
519,2020-06-03,20
520,2020-06-04,14
521,2020-06-05,13
522,2020-06-06,14
523,2020-06-07,15
524,2020-06-08,15
525,2020-06-09,13
526,2020-06-10,16
527,2020-06-11,18
528,2020-06-12,17
529,2020-06-13,19
530,2020-06-14,19
531,2020-06-15,19
532,2020-06-16,18
533,2020-06-17,18
534,2020-06-18,18
535,2020-06-19,17
536,2020-06-20,19
537,2020-06-21,18
538,2020-06-22,19
539,2020-06-23,22
540,2020-06-24,25
541,2020-06-25,26
542,2020-06-26,24
543,2020-06-27,21
544,2020-06-28,18
545,2020-06-29,17
546,2020-06-30,18
547,2020-07-01,20
548,2020-07-02,18
549,2020-07-03,18
550,2020-07-04,19
551,2020-07-05,20
552,2020-07-06,17
553,2020-07-07,19
554,2020-07-08,19
555,2020-07-09,22
556,2020-07-10,19
557,2020-07-11,18
558,2020-07-12,19
559,2020-07-13,20
560,2020-07-14,18
561,2020-07-15,18
562,2020-07-16,18
563,2020-07-17,20
564,2020-07-18,22
565,2020-07-19,23
566,2020-07-20,20
567,2020-07-21,19
568,2020-07-22,19
569,2020-07-23,20
570,2020-07-24,20
571,2020-07-25,22
572,2020-07-26,21
573,2020-07-27,23
574,2020-07-28,21
575,2020-07-29,21
576,2020-07-30,23
577,2020-07-31,29
578,2020-08-01,23
579,2020-08-02,19
580,2020-08-03,19
581,2020-08-04,20
582,2020-08-05,24
583,2020-08-06,27
584,2020-08-07,29
585,2020-08-08,30
586,2020-08-09,31
587,2020-08-10,30
588,2020-08-11,30
589,2020-08-12,29
590,2020-08-13,24
591,2020-08-14,22
592,2020-08-15,23
